file_names,link,noput,absris,tahun
000076.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79514,PUT-000076.16/2021/PP/M.VIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000077.16.2019_w.txt,,,,
000077.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76395,PUT-000077.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000077.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79515,PUT-000077.16/2021/PP/M.VIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000078.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48968,PUT-000078.16/2019/PP/M.XlllB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000078.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76396,PUT-000078.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000078.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79516,PUT-000078.16/2021/PP/M.VIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000079.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/48969,PUT-000079.16/2019/PP/M.XIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000079.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76397,PUT-000079.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000079.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/79517,PUT-000079.16/2021/PP/M.IIB Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000080.16.2019_w.txt,,,,
000080.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76398,PUT-000080.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000080.16.2021w.txt,http://setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/80152,PUT-000080.16/2021/PP/M.VIB Tahun 2022 ,Pajak Pertambahan Nilai (PPN),2022.0
000081.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/49396,PUT-000081.16/2019/PP/M.XlllB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000081.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76297,PUT-000081.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000081.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76443,PUT-000081.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000081.16.2020w_2.txt,,,,
000082.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/49397,PUT-000082.16/2019/PP/M.XIIIB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000082.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76298,PUT-000082.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000082.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70930,PUT-000082.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000083.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/49398,PUT-000083.16/2019/PP/M.XlllB Tahun 2020,Pajak Pertambahan Nilai (PPN),2020.0
000083.16.2020w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/76399,PUT-000083.16/2020/PP/M.XXA Tahun 2021,Pajak Pertambahan Nilai (PPN),2021.0
000083.16.2021w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/70931,PUT-000083.16/2021/PP/M.IIIA Tahun 2022,Pajak Pertambahan Nilai (PPN),2022.0
000084.16.2019w.txt,http://www.setpp.kemenkeu.go.id/risalah/ambilFileDariDisk/47748,PUT-000084.16/2019/PP/M.IIIB Tahun 2020,PPN,2020.0
